Name,Type_1,Type_2,HP,Attack,Defense,Speed,isLegendary,Color,Egg_Group_1,hasMegaEvolution
Honchkrow,Dark,Flying,100,125,52,71,No,Black,Flying,No
Glameow,Normal,,49,55,42,85,No,Grey,Field,No
Purugly,Normal,,71,82,64,112,No,Grey,Field,No
Chingling,Psychic,,45,30,50,45,No,Yellow,Undiscovered,No
Stunky,Poison,Dark,63,63,47,74,No,Purple,Field,No
Skuntank,Poison,Dark,103,93,67,84,No,Purple,Field,No
Bronzor,Steel,Psychic,57,24,86,23,No,Green,Mineral,No
Bronzong,Steel,Psychic,67,89,116,33,No,Green,Mineral,No
Bonsly,Rock,,50,80,95,10,No,Brown,Undiscovered,No
Mime_Jr.,Psychic,Fairy,20,25,45,60,No,Pink,Undiscovered,No
Happiny,Normal,,100,5,5,30,No,Pink,Undiscovered,No
Chatot,Normal,Flying,76,65,45,91,No,Black,Flying,No
Spiritomb,Ghost,Dark,50,92,108,35,No,Purple,Amorphous,No
Gible,Dragon,Ground,58,70,45,42,No,Blue,Monster,No
Gabite,Dragon,Ground,68,90,65,82,No,Blue,Monster,No
Garchomp,Dragon,Ground,108,130,95,102,No,Blue,Monster,Yes
Munchlax,Normal,,135,85,40,5,No,Black,Undiscovered,No
Riolu,Fighting,,40,70,40,60,No,Blue,Undiscovered,No
Lucario,Fighting,Steel,70,110,70,90,No,Blue,Field,Yes
Hippopotas,Ground,,68,72,78,32,No,Brown,Field,No
Hippowdon,Ground,,108,112,118,47,No,Brown,Field,No
Skorupi,Poison,Bug,40,50,90,65,No,Purple,Bug,No
Drapion,Poison,Dark,70,90,110,95,No,Purple,Bug,No
Croagunk,Poison,Fighting,48,61,40,50,No,Blue,Human-Like,No
Toxicroak,Poison,Fighting,83,106,65,85,No,Blue,Human-Like,No
Carnivine,Grass,,74,100,72,46,No,Green,Grass,No
Finneon,Water,,49,49,56,66,No,Blue,Water_2,No
Lumineon,Water,,69,69,76,91,No,Blue,Water_2,No
Mantyke,Water,Flying,45,20,50,50,No,Blue,Undiscovered,No
Snover,Grass,Ice,60,62,50,40,No,White,Monster,No
Abomasnow,Grass,Ice,90,92,75,60,No,White,Monster,Yes
Weavile,Dark,Ice,70,120,65,125,No,Black,Field,No
Magnezone,Electric,Steel,70,70,115,60,No,Grey,Mineral,No
Lickilicky,Normal,,110,85,95,50,No,Pink,Monster,No
Rhyperior,Ground,Rock,115,140,130,40,No,Grey,Monster,No
Tangrowth,Grass,,100,100,125,50,No,Blue,Grass,No
Electivire,Electric,,75,123,67,95,No,Yellow,Human-Like,No
Leafeon,Grass,,65,110,130,95,No,Green,Field,No
Glaceon,Ice,,65,60,110,65,No,Blue,Field,No
Gliscor,Ground,Flying,75,95,125,95,No,Purple,Bug,No
Mamoswine,Ice,Ground,110,130,80,80,No,Brown,Field,No
Porygon-Z,Normal,,85,80,70,90,No,Red,Mineral,No
Gallade,Psychic,Fighting,68,125,65,80,No,White,Amorphous,Yes
Probopass,Rock,Steel,60,55,145,40,No,Grey,Mineral,No
Dusknoir,Ghost,,45,100,135,45,No,Black,Amorphous,No
Froslass,Ice,Ghost,70,80,70,110,No,White,Fairy,No
Rotom,Electric,Ghost,50,50,77,91,No,Red,Amorphous,No
Uxie,Psychic,,75,75,130,95,Yes,Yellow,Undiscovered,No
Mesprit,Psychic,,80,105,105,80,Yes,Pink,Undiscovered,No
Azelf,Psychic,,75,125,70,115,Yes,Blue,Undiscovered,No
Dialga,Steel,Dragon,100,120,120,90,Yes,White,Undiscovered,No
Palkia,Water,Dragon,90,120,100,100,Yes,Purple,Undiscovered,No
Heatran,Fire,Steel,91,90,106,77,Yes,Brown,Undiscovered,No
Regigigas,Normal,,110,160,110,100,Yes,White,Undiscovered,No
Giratina,Ghost,Dragon,150,120,100,90,Yes,Black,Undiscovered,No
Cresselia,Psychic,,120,70,120,85,No,Yellow,Undiscovered,No
Phione,Water,,80,80,80,80,No,Blue,Water_1,No
Manaphy,Water,,100,100,100,100,No,Blue,Water_1,No
Darkrai,Dark,,70,90,90,125,Yes,Black,Undiscovered,No
Shaymin,Grass,,100,100,100,100,Yes,Green,Undiscovered,No
Arceus,Normal,,120,120,120,120,Yes,Grey,Undiscovered,No
Victini,Psychic,Fire,100,100,100,100,Yes,Yellow,Undiscovered,No
Snivy,Grass,,45,45,55,63,No,Green,Field,No
Servine,Grass,,60,60,75,83,No,Green,Field,No
Serperior,Grass,,75,75,95,113,No,Green,Field,No
Tepig,Fire,,65,63,45,45,No,Red,Field,No
Pignite,Fire,Fighting,90,93,55,55,No,Red,Field,No
Emboar,Fire,Fighting,110,123,65,65,No,Red,Field,No
Oshawott,Water,,55,55,45,45,No,Blue,Field,No
Dewott,Water,,75,75,60,60,No,Blue,Field,No
Samurott,Water,,95,100,85,70,No,Blue,Field,No
Patrat,Normal,,45,55,39,42,No,Brown,Field,No
Watchog,Normal,,60,85,69,77,No,Brown,Field,No
Lillipup,Normal,,45,60,45,55,No,Brown,Field,No
Herdier,Normal,,65,80,65,60,No,Grey,Field,No
Stoutland,Normal,,85,110,90,80,No,Grey,Field,No
Purrloin,Dark,,41,50,37,66,No,Purple,Field,No
Liepard,Dark,,64,88,50,106,No,Purple,Field,No
Pansage,Grass,,50,53,48,64,No,Green,Field,No
Simisage,Grass,,75,98,63,101,No,Green,Field,No
Pansear,Fire,,50,53,48,64,No,Red,Field,No
Simisear,Fire,,75,98,63,101,No,Red,Field,No
Panpour,Water,,50,53,48,64,No,Blue,Field,No
Simipour,Water,,75,98,63,101,No,Blue,Field,No
Munna,Psychic,,76,25,45,24,No,Pink,Field,No
Musharna,Psychic,,116,55,85,29,No,Pink,Field,No
Pidove,Normal,Flying,50,55,50,43,No,Grey,Flying,No
Tranquill,Normal,Flying,62,77,62,65,No,Grey,Flying,No
Unfezant,Normal,Flying,80,115,80,93,No,Grey,Flying,No
Blitzle,Electric,,45,60,32,76,No,Black,Field,No
Zebstrika,Electric,,75,100,63,116,No,Black,Field,No
Roggenrola,Rock,,55,75,85,15,No,Blue,Mineral,No
Boldore,Rock,,70,105,105,20,No,Blue,Mineral,No
Gigalith,Rock,,85,135,130,25,No,Blue,Mineral,No
Woobat,Psychic,Flying,55,45,43,72,No,Blue,Field,No
Swoobat,Psychic,Flying,67,57,55,114,No,Blue,Field,No
Drilbur,Ground,,60,85,40,68,No,Grey,Field,No
Excadrill,Ground,Steel,110,135,60,88,No,Grey,Field,No
Audino,Normal,,103,60,86,50,No,Pink,Fairy,Yes
Timburr,Fighting,,75,80,55,35,No,Grey,Human-Like,No
Gurdurr,Fighting,,85,105,85,40,No,Grey,Human-Like,No
Conkeldurr,Fighting,,105,140,95,45,No,Grey,Human-Like,No
Tympole,Water,,50,50,40,64,No,Blue,Water_1,No
Palpitoad,Water,Ground,75,65,55,69,No,Blue,Water_1,No
Seismitoad,Water,Ground,105,95,75,74,No,Blue,Water_1,No
Throh,Fighting,,120,100,85,45,No,Red,Human-Like,No
Sawk,Fighting,,75,125,75,85,No,Blue,Human-Like,No
Sewaddle,Bug,Grass,45,53,70,42,No,Yellow,Bug,No
Swadloon,Bug,Grass,55,63,90,42,No,Green,Bug,No
Leavanny,Bug,Grass,75,103,80,92,No,Yellow,Bug,No
Venipede,Bug,Poison,30,45,59,57,No,Red,Bug,No
Whirlipede,Bug,Poison,40,55,99,47,No,Grey,Bug,No
Scolipede,Bug,Poison,60,100,89,112,No,Red,Bug,No
Cottonee,Grass,Fairy,40,27,60,66,No,Green,Grass,No
Whimsicott,Grass,Fairy,60,67,85,116,No,Green,Grass,No
Petilil,Grass,,45,35,50,30,No,Green,Grass,No
Lilligant,Grass,,70,60,75,90,No,Green,Grass,No
Basculin,Water,,70,92,65,98,No,Green,Water_2,No
Sandile,Ground,Dark,50,72,35,65,No,Brown,Field,No
Krokorok,Ground,Dark,60,82,45,74,No,Brown,Field,No
Krookodile,Ground,Dark,95,117,80,92,No,Red,Field,No
Darumaka,Fire,,70,90,45,50,No,Red,Field,No
Darmanitan,Fire,,105,140,55,95,No,Red,Field,No
Maractus,Grass,,75,86,67,60,No,Green,Grass,No
Dwebble,Bug,Rock,50,65,85,55,No,Red,Bug,No
Crustle,Bug,Rock,70,95,125,45,No,Red,Bug,No
Scraggy,Dark,Fighting,50,75,70,48,No,Yellow,Field,No
Scrafty,Dark,Fighting,65,90,115,58,No,Red,Field,No
Sigilyph,Psychic,Flying,72,58,80,97,No,Black,Flying,No
Yamask,Ghost,,38,30,85,30,No,Black,Mineral,No
Cofagrigus,Ghost,,58,50,145,30,No,Yellow,Mineral,No
Tirtouga,Water,Rock,54,78,103,22,No,Blue,Water_1,No
Carracosta,Water,Rock,74,108,133,32,No,Blue,Water_1,No
Archen,Rock,Flying,55,112,45,70,No,Yellow,Flying,No
Archeops,Rock,Flying,75,140,65,110,No,Yellow,Flying,No
Trubbish,Poison,,50,50,62,65,No,Green,Mineral,No
Garbodor,Poison,,80,95,82,75,No,Green,Mineral,No
Zorua,Dark,,40,65,40,65,No,Grey,Field,No
Zoroark,Dark,,60,105,60,105,No,Grey,Field,No
Minccino,Normal,,55,50,40,75,No,Grey,Field,No
Cinccino,Normal,,75,95,60,115,No,Grey,Field,No
Gothita,Psychic,,45,30,50,45,No,Purple,Human-Like,No
Gothorita,Psychic,,60,45,70,55,No,Purple,Human-Like,No
Gothitelle,Psychic,,70,55,95,65,No,Purple,Human-Like,No
Solosis,Psychic,,45,30,40,20,No,Green,Amorphous,No
Duosion,Psychic,,65,40,50,30,No,Green,Amorphous,No
Reuniclus,Psychic,,110,65,75,30,No,Green,Amorphous,No
Ducklett,Water,Flying,62,44,50,55,No,Blue,Water_1,No
Swanna,Water,Flying,75,87,63,98,No,White,Water_1,No
Vanillite,Ice,,36,50,50,44,No,White,Mineral,No
Vanillish,Ice,,51,65,65,59,No,White,Mineral,No
Vanilluxe,Ice,,71,95,85,79,No,White,Mineral,No
Deerling,Normal,Grass,60,60,50,75,No,Yellow,Field,No
Sawsbuck,Normal,Grass,80,100,70,95,No,Brown,Field,No
Emolga,Electric,Flying,55,75,60,103,No,White,Field,No
Karrablast,Bug,,50,75,45,60,No,Blue,Bug,No
Escavalier,Bug,Steel,70,135,105,20,No,Grey,Bug,No
Foongus,Grass,Poison,69,55,45,15,No,White,Grass,No
Amoonguss,Grass,Poison,114,85,70,30,No,Grey,Grass,No
Frillish,Water,Ghost,55,40,50,40,No,White,Amorphous,No
Jellicent,Water,Ghost,100,60,70,60,No,White,Amorphous,No
Alomomola,Water,,165,75,80,65,No,Pink,Water_1,No
Joltik,Bug,Electric,50,47,50,65,No,Yellow,Bug,No
Galvantula,Bug,Electric,70,77,60,108,No,Yellow,Bug,No
Ferroseed,Grass,Steel,44,50,91,10,No,Grey,Grass,No
Ferrothorn,Grass,Steel,74,94,131,20,No,Grey,Grass,No
Klink,Steel,,40,55,70,30,No,Grey,Mineral,No
Klang,Steel,,60,80,95,50,No,Grey,Mineral,No
Klinklang,Steel,,60,100,115,90,No,Grey,Mineral,No
Tynamo,Electric,,35,55,40,60,No,White,Amorphous,No
Eelektrik,Electric,,65,85,70,40,No,Blue,Amorphous,No
Eelektross,Electric,,85,115,80,50,No,Blue,Amorphous,No
Elgyem,Psychic,,55,55,55,30,No,Grey,Human-Like,No
Beheeyem,Psychic,,75,75,75,40,No,Brown,Human-Like,No
Litwick,Ghost,Fire,50,30,55,20,No,White,Amorphous,No
Lampent,Ghost,Fire,60,40,60,55,No,Black,Amorphous,No
Chandelure,Ghost,Fire,60,55,90,80,No,Black,Amorphous,No
Axew,Dragon,,46,87,60,57,No,Green,Monster,No
Fraxure,Dragon,,66,117,70,67,No,Green,Monster,No
Haxorus,Dragon,,76,147,90,97,No,Yellow,Monster,No
Cubchoo,Ice,,55,70,40,40,No,Blue,Field,No
Beartic,Ice,,95,110,80,50,No,White,Field,No
Cryogonal,Ice,,70,50,30,105,No,Blue,Mineral,No
Shelmet,Bug,,50,40,85,25,No,Red,Bug,No
Accelgor,Bug,,80,70,40,145,No,Red,Bug,No
Stunfisk,Ground,Electric,109,66,84,32,No,Brown,Water_1,No
Mienfoo,Fighting,,45,85,50,65,No,Yellow,Field,No
Mienshao,Fighting,,65,125,60,105,No,Purple,Field,No
Druddigon,Dragon,,77,120,90,48,No,Red,Dragon,No
Golett,Ground,Ghost,59,74,50,35,No,Green,Mineral,No
Golurk,Ground,Ghost,89,124,80,55,No,Green,Mineral,No
Pawniard,Dark,Steel,45,85,70,60,No,Red,Human-Like,No
Bisharp,Dark,Steel,65,125,100,70,No,Red,Human-Like,No
Bouffalant,Normal,,95,110,95,55,No,Brown,Field,No
Rufflet,Normal,Flying,70,83,50,60,No,White,Flying,No
Braviary,Normal,Flying,100,123,75,80,No,Red,Flying,No
Vullaby,Dark,Flying,70,55,75,60,No,Brown,Flying,No
Mandibuzz,Dark,Flying,110,65,105,80,No,Brown,Flying,No
Heatmor,Fire,,85,97,66,65,No,Red,Field,No
Durant,Bug,Steel,58,109,112,109,No,Grey,Bug,No
Deino,Dark,Dragon,52,65,50,38,No,Blue,Dragon,No
Zweilous,Dark,Dragon,72,85,70,58,No,Blue,Dragon,No
Hydreigon,Dark,Dragon,92,105,90,98,No,Blue,Dragon,No
Larvesta,Bug,Fire,55,85,55,60,No,White,Bug,No
Volcarona,Bug,Fire,85,60,65,100,No,White,Bug,No
Cobalion,Steel,Fighting,91,90,129,108,Yes,Blue,Undiscovered,No
Terrakion,Rock,Fighting,91,129,90,108,Yes,Grey,Undiscovered,No
Virizion,Grass,Fighting,91,90,72,108,Yes,Green,Undiscovered,No
Tornadus,Flying,,79,115,70,111,Yes,Green,Undiscovered,No
Thundurus,Electric,Flying,79,115,70,111,Yes,Blue,Undiscovered,No
Reshiram,Dragon,Fire,100,120,100,90,Yes,White,Undiscovered,No
Zekrom,Dragon,Electric,100,150,120,90,Yes,Black,Undiscovered,No
Landorus,Ground,Flying,89,125,90,101,Yes,Brown,Undiscovered,No
Kyurem,Dragon,Ice,125,130,90,95,Yes,Grey,Undiscovered,No
Keldeo,Water,Fighting,91,72,90,108,No,Yellow,Undiscovered,No
Meloetta,Normal,Psychic,100,77,77,90,No,White,Undiscovered,No
Genesect,Bug,Steel,71,120,95,99,No,Purple,Undiscovered,No
Chespin,Grass,,56,61,65,38,No,Green,Field,No
Quilladin,Grass,,61,78,95,57,No,Green,Field,No
Chesnaught,Grass,Fighting,88,107,122,64,No,Green,Field,No
Fennekin,Fire,,40,45,40,60,No,Red,Field,No
Braixen,Fire,,59,59,58,73,No,Red,Field,No
Delphox,Fire,Psychic,75,69,72,104,No,Red,Field,No
Froakie,Water,,41,56,40,71,No,Blue,Water_1,No
Frogadier,Water,,54,63,52,97,No,Blue,Water_1,No
Greninja,Water,Dark,72,95,67,122,No,Blue,Water_1,No
Bunnelby,Normal,,38,36,38,57,No,Brown,Field,No
Diggersby,Normal,Ground,85,56,77,78,No,Brown,Field,No
Fletchling,Normal,Flying,45,50,43,62,No,Red,Flying,No
Fletchinder,Fire,Flying,62,73,55,84,No,Red,Flying,No
Talonflame,Fire,Flying,78,81,71,126,No,Red,Flying,No
Scatterbug,Bug,,38,35,40,35,No,Black,Bug,No
Spewpa,Bug,,45,22,60,29,No,Black,Bug,No
Vivillon,Bug,Flying,80,52,50,89,No,Black,Bug,No
Litleo,Fire,Normal,62,50,58,72,No,Brown,Field,No
Pyroar,Fire,Normal,86,68,72,106,No,Brown,Field,No
Flabébé,Fairy,,44,38,39,42,No,White,Fairy,No
Floette,Fairy,,54,45,47,52,No,White,Fairy,No
Florges,Fairy,,78,65,68,75,No,White,Fairy,No
Skiddo,Grass,,66,65,48,52,No,Brown,Field,No
Gogoat,Grass,,123,100,62,68,No,Brown,Field,No
Pancham,Fighting,,67,82,62,43,No,White,Field,No
Pangoro,Fighting,Dark,95,124,78,58,No,White,Field,No
Furfrou,Normal,,75,80,60,102,No,White,Field,No
Espurr,Psychic,,62,48,54,68,No,Grey,Field,No
Meowstic,Psychic,,74,48,76,104,No,White,Field,No
Honedge,Steel,Ghost,45,80,100,28,No,Brown,Mineral,No
Doublade,Steel,Ghost,59,110,150,35,No,Brown,Mineral,No
Aegislash,Steel,Ghost,60,50,150,60,No,Brown,Mineral,No
Spritzee,Fairy,,78,52,60,23,No,Pink,Fairy,No
Aromatisse,Fairy,,101,72,72,29,No,Pink,Fairy,No
Swirlix,Fairy,,62,48,66,49,No,White,Fairy,No
Slurpuff,Fairy,,82,80,86,72,No,White,Fairy,No
Inkay,Dark,Psychic,53,54,53,45,No,Blue,Water_1,No
Malamar,Dark,Psychic,86,92,88,73,No,Blue,Water_1,No
Binacle,Rock,Water,42,52,67,50,No,Brown,Water_3,No
Barbaracle,Rock,Water,72,105,115,68,No,Brown,Water_3,No
Skrelp,Poison,Water,50,60,60,30,No,Brown,Water_1,No
Dragalge,Poison,Dragon,65,75,90,44,No,Brown,Water_1,No
Clauncher,Water,,50,53,62,44,No,Blue,Water_1,No
Clawitzer,Water,,71,73,88,59,No,Blue,Water_1,No
Helioptile,Electric,Normal,44,38,33,70,No,Yellow,Monster,No
Heliolisk,Electric,Normal,62,55,52,109,No,Yellow,Monster,No
Tyrunt,Rock,Dragon,58,89,77,48,No,Brown,Monster,No
Tyrantrum,Rock,Dragon,82,121,119,71,No,Red,Monster,No
Amaura,Rock,Ice,77,59,50,46,No,Blue,Monster,No
Aurorus,Rock,Ice,123,77,72,58,No,Blue,Monster,No
Sylveon,Fairy,,95,65,65,60,No,Pink,Field,No
Hawlucha,Fighting,Flying,78,92,75,118,No,Green,Human-Like,No
Dedenne,Electric,Fairy,67,58,57,101,No,Yellow,Field,No
Carbink,Rock,Fairy,50,50,150,50,No,Grey,Fairy,No
Goomy,Dragon,,45,50,35,40,No,Purple,Dragon,No
Sliggoo,Dragon,,68,75,53,60,No,Purple,Dragon,No
Goodra,Dragon,,90,100,70,80,No,Purple,Dragon,No
Klefki,Steel,Fairy,57,80,91,75,No,Grey,Mineral,No
Phantump,Ghost,Grass,43,70,48,38,No,Brown,Grass,No
Trevenant,Ghost,Grass,85,110,76,56,No,Brown,Grass,No
Pumpkaboo,Ghost,Grass,49,66,70,51,No,Brown,Amorphous,No
Gourgeist,Ghost,Grass,65,90,122,84,No,Brown,Amorphous,No
Bergmite,Ice,,55,69,85,28,No,Blue,Monster,No
Avalugg,Ice,,95,117,184,28,No,Blue,Monster,No
Noibat,Flying,Dragon,40,30,35,55,No,Purple,Flying,No
Noivern,Flying,Dragon,85,70,80,123,No,Purple,Flying,No
Xerneas,Fairy,,126,131,95,99,Yes,Blue,Undiscovered,No
Hoopa,Psychic,Ghost,80,110,60,70,Yes,Purple,Undiscovered,No
Volcanion,Fire,Water,80,110,120,70,Yes,Brown,Undiscovered,No
